NTK, AGOP, and Alignment Analysis Summary
==================================================

Total Results: 486
NTK Range: 0.0000 - 0.9999
AGOP Range: -6.73e-14 - 1.93e+15
Alignment Range: 0.0019 - 0.1170

Cross-Modal Pairs:
resnet18 + bert_base: NTK=0.2265, AGOP=1.03e+01, Align=0.0155
resnet18 + bert_base: NTK=0.4062, AGOP=1.25e+02, Align=0.1070
vit_base_patch16_224 + roberta_base: NTK=0.3404, AGOP=1.86e+02, Align=0.1120
convnext_tiny + gpt2_medium: NTK=0.3388, AGOP=1.90e+02, Align=0.1040
resnet18 + gpt2_medium: NTK=0.4026, AGOP=1.26e+02, Align=0.0860
vit_base_patch16_224 + bert_base: NTK=0.3388, AGOP=1.87e+02, Align=0.1170
resnet18 + bert_base: NTK=0.2208, AGOP=1.03e+01, Align=0.0151
resnet18 + roberta_base: NTK=0.2272, AGOP=1.03e+01, Align=0.0135
resnet18 + gpt2_medium: NTK=0.2180, AGOP=1.03e+01, Align=0.0149
vit_base_patch16_224 + bert_base: NTK=0.1920, AGOP=3.16e+01, Align=0.0148
vit_base_patch16_224 + roberta_base: NTK=0.1850, AGOP=3.14e+01, Align=0.0177
vit_base_patch16_224 + gpt2_medium: NTK=0.1888, AGOP=3.14e+01, Align=0.0149
convnext_tiny + bert_base: NTK=0.2499, AGOP=2.51e+01, Align=0.0177
convnext_tiny + roberta_base: NTK=0.2506, AGOP=2.51e+01, Align=0.0193
convnext_tiny + gpt2_medium: NTK=0.2533, AGOP=2.51e+01, Align=0.0151
resnet18 + bert_base: NTK=0.2323, AGOP=1.04e+01, Align=0.0184
resnet18 + roberta_base: NTK=0.2321, AGOP=1.03e+01, Align=0.0200
resnet18 + gpt2_medium: NTK=0.2245, AGOP=1.03e+01, Align=0.0186
resnet18 + albert_base_v2: NTK=0.2190, AGOP=1.04e+01, Align=0.0179
vit_base_patch16_224 + bert_base: NTK=0.1898, AGOP=3.16e+01, Align=0.0181
vit_base_patch16_224 + roberta_base: NTK=0.1928, AGOP=3.18e+01, Align=0.0142
vit_base_patch16_224 + gpt2_medium: NTK=0.1940, AGOP=3.18e+01, Align=0.0179
vit_base_patch16_224 + albert_base_v2: NTK=0.1943, AGOP=3.15e+01, Align=0.0179
convnext_tiny + bert_base: NTK=0.2498, AGOP=2.50e+01, Align=0.0163
convnext_tiny + roberta_base: NTK=0.2449, AGOP=2.50e+01, Align=0.0160
convnext_tiny + gpt2_medium: NTK=0.2474, AGOP=2.51e+01, Align=0.0177
convnext_tiny + albert_base_v2: NTK=0.2474, AGOP=2.49e+01, Align=0.0153
mixer_b16_224 + bert_base: NTK=0.1573, AGOP=1.26e+01, Align=0.0179
mixer_b16_224 + roberta_base: NTK=0.1515, AGOP=1.26e+01, Align=0.0153
mixer_b16_224 + gpt2_medium: NTK=0.1556, AGOP=1.26e+01, Align=0.0189
mixer_b16_224 + albert_base_v2: NTK=0.1564, AGOP=1.26e+01, Align=0.0144
resnet18 + bert_base: NTK=0.4754, AGOP=1.02e+02, Align=0.0647
resnet18 + roberta_base: NTK=0.4740, AGOP=1.02e+02, Align=0.0680
